6.0,4,True
252,96,28,255
244,104,44,255
236,104,0,255
204,112,92,36
240,228,212,3
244,188,56,255
236,152,80,255
252,72,72,164
228,208,84,64
224,152,140,4
220,96,112,85
236,60,40,159
252,248,192,4
240,128,24,255
180,48,24,255
224,200,20,255
252,228,160,13
204,176,136,4
236,92,68,20
252,204,100,128
232,48,72,13
252,144,136,109
244,116,32,255
252,152,88,255
236,148,80,255
244,128,4,255
248,184,84,255
240,100,36,255
228,88,48,255
236,228,8,255
164,20,20,21
228,4,0,255
208,48,52,73
244,92,72,8
224,172,176,2
248,148,56,255
248,116,52,255
204,108,84,255
220,24,16,255
240,60,28,255
208,128,108,85
252,208,64,255
252,120,132,128
220,36,20,219
240,224,216,1
244,64,64,36
220,12,12,255
200,20,8,255
240,200,12,85
248,124,100,32
212,44,48,85
248,120,12,255
220,152,36,255
252,240,72,43
252,244,248,0
240,104,96,128
204,160,80,64
248,224,4,255
240,80,88,128
192,76,56,85
176,124,120,1
252,184,84,255
216,148,68,255
248,200,92,255
252,172,112,182
232,208,20,85
216,168,96,128
228,72,24,255
224,56,48,106
184,60,64,64
244,44,16,255
232,196,196,5
240,68,40,255
224,12,12,255
244,196,116,7
248,56,72,128
240,44,52,55
244,140,108,64
236,76,80,191
184,96,104,64
252,80,8,255
244,168,164,77
220,68,64,96
236,36,8,255
236,200,164,7
232,116,76,255
232,112,84,128
252,208,28,170
248,48,12,255
216,96,36,255
252,188,24,255
252,168,160,57
252,252,164,10
244,100,116,255
252,136,36,255
248,216,212,16
228,180,180,7
244,48,40,128
208,152,156,6
232,172,140,26
248,172,88,255
248,204,116,18
184,28,20,73
240,88,20,255
248,132,4,255
216,48,56,128
236,64,24,255
244,228,0,170
240,12,8,255
236,52,40,102
252,76,52,196
244,164,104,255
232,76,56,51
196,160,156,3
248,104,48,170
220,136,80,255
192,116,84,128
252,228,12,198
232,20,0,255
200,28,20,219
252,176,96,255
252,180,128,51
236,220,28,255
252,156,68,255
244,120,108,170
248,196,192,11
204,36,28,26
248,188,0,255
240,128,120,85
208,60,48,36
236,176,152,11
228,152,60,255
248,144,36,255
208,100,28,255
220,28,12,227
212,160,156,4
224,140,72,255
200,60,48,64
236,96,44,255
220,40,16,255
224,168,112,12
244,152,28,255
200,68,68,153
252,232,236,2
248,228,112,64
220,116,84,7
248,120,104,64
240,172,136,85
228,60,40,102
248,116,8,255
196,32,44,8
244,204,180,3
248,76,68,32
252,232,8,188
252,252,132,26
220,168,4,255
252,192,104,170
228,56,20,255
188,52,44,85
236,140,36,255
232,52,52,64
252,172,12,255
248,244,28,255
188,0,0,255
196,44,48,64
160,48,20,85
244,20,8,255
212,160,160,3
216,168,60,255
228,64,76,128
244,32,20,255
240,64,36,255
200,64,64,191
248,156,84,255
252,228,224,4
212,176,180,4
236,152,84,255
240,52,72,36
200,40,8,255
248,224,68,85
220,56,72,77
220,60,56,32
252,84,4,255
180,20,0,255
176,44,24,255
236,124,16,255
216,28,28,170
192,44,36,26
200,40,60,12
220,116,72,16
